objectid,cl,logradouro,codbairro,bairro,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação,source
1331412,224071,RUA PAULO KLABIN,132,Recreio dos Bandeirantes  ,2,TERRITORIAL,50.255,675.5,428684.67,874373.535,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331413,229427,RUA 1 PAA 11969/PAL 46400,132,Recreio dos Bandeirantes  ,3,TERRITORIAL,25.0,679.333333,185000.003333,740000.013333,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331414,200303,RUA EROS,140,Padre Miguel              ,2,TERRITORIAL,100.0,128.0,36725.94,36725.94,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331415,013623,RUA BARAO DE CAPANEMA,141,Bangu,3,TERRITORIAL,100.0,373.333333,261792.976666,261792.976666,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331416,089433,RUA FRANCISCO FRANCO,141,Bangu,2,TERRITORIAL,100.0,256.0,198007.01,198007.01,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331417,188151,RUA ALEXANDRE VANNUCCHI LEME,141,Bangu,4,TERRITORIAL,100.0,191.0,169640.6425,169640.6425,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331418,203117,RUA ALCEDO COUTINHO,141,Bangu,2,TERRITORIAL,100.0,153.0,67079.525,67079.525,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331419,219824,RUA CARLOS CACHACA,143,Santíssimo                ,4,TERRITORIAL,100.0,157.5,41887.03,41887.03,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331420,004309,RUA CEL DANIEL CRISTOVAO,144,Campo Grande,2,TERRITORIAL,100.0,120.0,96524.4,96524.4,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331421,012302,RUA SANANDUVA,144,Campo Grande,2,TERRITORIAL,100.0,3808.0,216824.63,216824.63,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331422,017152,AVN CESARIO DE MELO,144,Campo Grande,2,TERRITORIAL,100.0,687.0,658222.915,658222.915,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331423,027367,RUA OLINDA ELLIS,144,Campo Grande,5,TERRITORIAL,100.0,584.6,362003.252,362003.252,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331424,035311,ETR DO PRE,144,Campo Grande,2,TERRITORIAL,100.0,288.5,212984.83,212984.83,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331425,119446,RUA ARNALDO SERVULO DA ROCHA,144,Campo Grande,2,TERRITORIAL,100.0,249.0,171366.755,171366.755,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331426,137190,RUA VICENTE FRANCISCO DOS SANTOS,144,Campo Grande,2,TERRITORIAL,100.0,225.0,144720.85,144720.85,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331427,137224,RUA JOAO CIRILO DE OLIVEIRA,144,Campo Grande,2,TERRITORIAL,100.0,250.0,23719.84,23719.84,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331428,161752,RUA MAXIMO SADA RODELES,144,Campo Grande,3,TERRITORIAL,83.333333,152.333333,38134.243333,44294.393333,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331429,163253,RUA FERNANDO SABOYA DE FIUZA,144,Campo Grande,4,TERRITORIAL,100.0,157.5,121252.6075,121252.6075,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331430,137208,RUA JOSE SOARES FERREIRA,144,Campo Grande,2,TERRITORIAL,100.0,232.5,23141.31,23141.31,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331431,163287,RUA GERGELIM,144,Campo Grande,2,TERRITORIAL,100.0,153.0,101695.73,101695.73,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331432,163337,RUA LUIS MONTEZUMA,144,Campo Grande,3,TERRITORIAL,83.333333,153.0,88331.87,105607.106666,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331433,164830,RUA DOS CRAVOS,144,Campo Grande,2,TERRITORIAL,100.0,151.0,113735.89,113735.89,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331434,170589,RUA 26 PAL 34941,144,Campo Grande,3,TERRITORIAL,100.0,213.333333,68851.063333,68851.063333,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331435,170688,RUA DAS BOAS FAMILIAS,144,Campo Grande,3,TERRITORIAL,83.333333,120.0,35849.566666,42743.066666,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331436,170738,RUA FIGUEIROPOLIS,144,Campo Grande,2,TERRITORIAL,100.0,120.0,41361.0,41361.0,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331437,175257,RUA JOSE MAURICIO DE MELO,144,Campo Grande,2,TERRITORIAL,100.0,321.5,24513.945,24513.945,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331438,177295,RUA MARIA DO CARMO CASTRO,144,Campo Grande,3,TERRITORIAL,100.0,1151.0,176872.536666,176872.536666,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331439,192476,RUA RONALDO DOS SANTOS,144,Campo Grande,2,TERRITORIAL,100.0,153.0,42681.025,42681.025,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
1331440,198002,RUA NANITA LUTZ,144,Campo Grande,2,TERRITORIAL,100.0,248.0,23099.825,23099.825,COMPRA E VENDA,2013,Prefeitura da Cidade do Rio de Janeiro
